week_end,score,side,rank,compound,vader_compound,adj_compound,published_utc,source,title,lexicon_hits,cites_later_date
2022-05-06,adj_compound,most_positive,1,0.7964,0.7964,0.7964,2022-05-06T07:00:00Z,AsiaOne,"Best aluminium-free deodorants that are safe for pregnancy, Lifestyle News",,False
2022-05-06,adj_compound,most_positive,2,0.6597,0.4404,0.6597,2022-05-03T07:00:00Z,The Economic Times,"Tata Steel Q4 Results: Profit surges 47% YoY to Rs 9,756 crore; company announces 10:1 stock split",surges,False
2022-05-13,adj_compound,most_negative,1,-0.5719,-0.5719,-0.5719,2022-05-08T07:00:00Z,Reuters,CME explores nickel contract after LME trade chaos,,False
2022-05-13,adj_compound,most_negative,2,-0.5719,-0.5719,-0.5719,2022-05-13T07:00:00Z,South China Morning Post,LME seeks to require OTC position reporting after March nickel chaos,,False
2022-05-13,adj_compound,most_positive,1,0.3612,0,0.3612,2022-05-09T07:00:00Z,ET Infra,"Indian Railways 90,000 wagon purchase plan hit by soaring steel and wheel set prices",soaring,False
2022-05-13,adj_compound,most_positive,2,0.296,0.296,0.296,2022-05-11T07:00:00Z,Crux Investor,Transition Metals (XTM) - Sustainable Prospect Generator,,False
2022-05-20,adj_compound,most_negative,1,-0.807,-0.807,-0.807,2022-05-19T07:00:00Z,World Socialist Web Site,Outraged Arconic aluminum workers speak out against USW’s contract proposal: “It’s a bad deal!”,,False
2022-05-20,adj_compound,most_negative,2,-0.5267,-0.5267,-0.5267,2022-05-20T07:00:00Z,Hackaday,"Square Cuts On Aluminum Extrusion, No Mill Required",,False
2022-05-27,adj_compound,most_negative,1,-0.4404,-0.1027,-0.4404,2022-05-23T07:00:00Z,The Indian Express,"Stock Market Today: Indices end a tad lower post volatile session, Nifty slips 51 points; Metals drag",slips,False
2022-05-27,adj_compound,most_negative,2,-0.2732,-0.2732,-0.2732,2022-05-23T07:00:00Z,Reuters,"India's top mining, steel groups warn of adverse impact from export duty hikes",,False
2022-05-27,adj_compound,most_positive,1,0.7841,0.7841,0.7841,2022-05-21T07:00:00Z,The Economic Times,"​Tata Steel | Profit: Rs 41,100.16 crore - FY22 earnings report card: Here are top 10 most profitable companies in India",,False
2022-05-27,adj_compound,most_positive,2,0.5423,0.4588,0.5423,2022-05-24T07:00:00Z,African Mining Market,Demand for steel alloys grows as the energy transition gains momentum,demand,False
2022-06-03,adj_compound,most_negative,1,-0.4019,-0.4939,-0.4019,2022-06-01T07:00:00Z,World Bank Blogs,Global metal markets: Weakening demand amid constrained supply?,demand,False
2022-06-03,adj_compound,most_negative,2,-0.128,-0.128,-0.128,2022-05-31T07:00:00Z,tour-magazin.de,4 aluminium gravel bikes from 1699 euros on test,,False
2022-06-03,adj_compound,most_positive,1,0.6597,0.4404,0.6597,2022-05-30T07:00:00Z,NST Online,Press Metal Aluminium net profit rose 104.66pc to RM421.02mil in Q1 due to higher aluminium prices,rose,False
2022-06-03,adj_compound,most_positive,2,0.5927,0.5927,0.5927,2022-05-29T07:00:00Z,Free Malaysia Today,Sun sets on 120-year-old smelting plant but tin’s future looks bright,,False
2022-06-10,adj_compound,most_negative,1,-0.7096,-0.7096,-0.7096,2022-06-06T07:00:00Z,MetalMiner,"Nickel Prices: LME Nickel Contract Continues to Lack Liquidity, Harming Price Discovery",,False
2022-06-10,adj_compound,most_negative,2,-0.6486,-0.6486,-0.6486,2022-06-07T07:00:00Z,CNBC,London Metal Exchange hit with two U.S. lawsuits over nickel trading chaos,,False
2022-06-10,adj_compound,most_positive,1,0.6369,0.6369,0.6369,2022-06-06T07:00:00Z,Plano Magazine,Metal artist Leif Price sculpts his future from a life-long love of motorcycles,,False
2022-06-10,adj_compound,most_positive,2,0.5859,0.5859,0.5859,2022-06-07T07:00:00Z,washingtonpost.com,A factory wants to reopen making ‘green’ aluminum. Now it just needs clean energy.,,False
2022-06-17,adj_compound,most_negative,1,-0.5994,-0.5994,-0.5994,2022-06-15T07:00:00Z,thefabricator.com,Steel prices tumbling back to levels before the war in Ukraine,,False
2022-06-17,adj_compound,most_negative,2,-0.5859,-0.5859,-0.5859,2022-06-14T07:00:00Z,Global Trade Review (GTR),China aluminium fraud allegations suggest lessons not learned from Qingdao,,False
2022-06-17,adj_compound,most_positive,1,0.5994,0.5994,0.5994,2022-06-14T07:00:00Z,Fortune India,"Global rout to hit Sensex, Nifty; Delta Corp, Torrent Power, Tata Steel, Embassy REIT shares eyed",,False
2022-06-17,adj_compound,most_positive,2,0.5719,0.5719,0.5719,2022-06-15T07:00:00Z,CME Group,Case Study: How one auto maker protected profits and cut aluminum storage costs,,False
2022-06-24,adj_compound,most_negative,1,-0.6486,-0.6486,-0.6486,2022-06-20T07:00:00Z,Eastern Daily Press,Revealed: Every Norfolk village where metal thieves have struck,,False
2022-06-24,adj_compound,most_negative,2,-0.3612,0,-0.3612,2022-06-24T07:00:00Z,theweek.in,Domestic Steel prices expected to fall further in the near term,fall,False
2022-06-24,adj_compound,most_positive,1,0.5859,0.5859,0.5859,2022-06-22T07:00:00Z,spglobal.com,Direct-reduced iron becomes steel decarbonization winner,,False
2022-06-24,adj_compound,most_positive,2,0.5574,0.2732,0.5574,2022-06-21T07:00:00Z,The Japan Times,Surging energy prices force Japanese steel giant to revisit coal,surging,False
2022-07-01,adj_compound,most_negative,1,-0.5574,-0.3818,-0.5574,2022-06-28T07:00:00Z,financialexpress.com,Domestic steel majors cut production as demand falls,demand;falls,False
2022-07-01,adj_compound,most_negative,2,-0.3612,-0.3612,-0.3612,2022-06-28T07:00:00Z,Moneycontrol.com,"Tata Steel to pare debt by $1 billion a year, expansion to be India centric",,False
2022-07-01,adj_compound,most_positive,1,0.8807,0.8807,0.8807,2022-06-29T07:00:00Z,AL Circle,Vedanta Lanjigarh alumina unit bags Kalinga Environment Excellence Award 2021 for unwavering commitment to environmental sustainability,,False
2022-07-01,adj_compound,most_positive,2,0.5574,0.5574,0.5574,2022-06-27T07:00:00Z,Moneycontrol.com,"Taking Stock | Market ends higher for third day; positive global cues, IT and metal stocks lift sentiment",,False
2022-07-08,adj_compound,most_negative,1,-0.8481,-0.8481,-0.8481,2022-07-04T07:00:00Z,Mining.com,Metals melt down as recession fears overwhelm supply woes,,False
2022-07-08,adj_compound,most_negative,2,-0.8481,-0.8481,-0.8481,2022-07-05T07:00:00Z,Reuters,COMMENTARY: Metals melt down as recession fears overwhelm supply woes,,False
2022-07-08,adj_compound,most_positive,1,0.7003,0.6486,0.7003,2022-07-05T07:00:00Z,auto.economictimes.indiatimes.com,Improved economic activity to support demand for steel in India: Fitch,demand,False
2022-07-08,adj_compound,most_positive,2,0.6369,0.6369,0.6369,2022-07-07T07:00:00Z,Business Insider,Bill Gates just poured more money into a car-metal-recycling startup. Here's an exclusive look at the 12-slide pitch deck that won over him and investors at Assembly Ventures.,,False
2022-07-15,adj_compound,most_negative,1,-0.6249,-0.6808,-0.6249,2022-07-12T07:00:00Z,The Northern Miner,"Weak steel demand puts pressure on iron ore prices, BofA says",demand,False
2022-07-15,adj_compound,most_negative,2,-0.6249,-0.6249,-0.6249,2022-07-13T07:00:00Z,AL Circle,Bangladesh's aluminium utensil industry in the Talora port region might face extinction due to gas crisis and higher fuel costs,,False
2022-07-15,adj_compound,most_positive,1,0.5766,0.5766,0.5766,2022-07-11T07:00:00Z,letsrecycle.com,Ward acquires York scrap metal firm L Clancey & Sons,,False
2022-07-15,adj_compound,most_positive,2,0.4767,0.4767,0.4767,2022-07-13T07:00:00Z,The Economic Times,Bankruptcy court okays Orissa Metaliks’ revival plan for MSP Metallics,,False
2022-07-22,adj_compound,most_negative,1,-0.7351,-0.7351,-0.7351,2022-07-22T07:00:00Z,mining.com,Europe’s energy crisis risks slashing aluminum production further,,False
2022-07-22,adj_compound,most_negative,2,-0.3612,0,-0.3612,2022-07-19T07:00:00Z,thefabricator.com,The end of the steel price decline might be near,decline,False
2022-07-22,adj_compound,most_positive,1,0.5423,0.5423,0.5423,2022-07-18T07:00:00Z,Vedanta Aluminium Metal Limited,Growing Usage of Aluminium in the Auto Industry bolsters Sustainability & Safety.,,False
2022-07-22,adj_compound,most_positive,2,0.5106,0.5106,0.5106,2022-07-21T07:00:00Z,"County of Union, New Jersey",Free Scrap Metal Recycling for Union County Residents,,False
2022-07-29,adj_compound,most_negative,1,-0.5267,-0.5267,-0.5267,2022-07-23T07:00:00Z,The i Paper,Threat to Port Talbot steel jobs decried as ‘eco-blackmail’ as Tata seeks £1.5bn in subsidies,,False
2022-07-29,adj_compound,most_negative,2,-0.3612,0,-0.3612,2022-07-27T07:00:00Z,Moneycontrol.com,Tata Steel: A likely fall in September quarter operating performance,fall,False
2022-07-29,adj_compound,most_positive,1,0.7351,0.5719,0.7351,2022-07-25T23:30:54Z,fuelcarmagazine,Box Logo Supreme Retail Prices Supreme Drop Price List KRSEC Aluminum Alloy Bike Frame Racing Dirt Jump Set,jump,False
2022-07-29,adj_compound,most_positive,2,0.6249,0.6249,0.6249,2022-07-27T07:00:00Z,BusinessToday Malaysia,Press Metal’s Prospect Remains Bright in the Age of Decarbonisation: RHB Research,,False
2022-08-05,adj_compound,most_negative,1,-0.5994,-0.5994,-0.5994,2022-08-01T07:00:00Z,GMK Center,The rolled metal market during the war and in post-war recovery,,False
2022-08-05,adj_compound,most_negative,2,-0.5719,-0.5719,-0.5719,2022-08-04T07:00:00Z,eskom.co.za,Three convicted for stealing more than 564 kg of Eskom’s aluminium overhead conductor,,False
2022-08-05,adj_compound,most_positive,1,0.7845,0.7845,0.7845,2022-08-02T07:00:00Z,Vedanta Aluminium Metal Limited,"World Breastfeeding Week: Vedanta Aluminium steps up to protect, promote and support breastfeeding in Odisha",,False
2022-08-05,adj_compound,most_positive,2,0.6369,0.6369,0.6369,2022-08-01T07:00:00Z,Cosmopolitan,The 16 Best Aluminum-Free Deodorants That Actually Work,,False
2022-08-12,adj_compound,most_negative,1,-0.3182,-0.3182,-0.3182,2022-08-09T07:00:00Z,Scottish Daily Express,More concerns raised about future of Sanjeev Gupta's Lochaber smelter as owners post £4m loss,,False
2022-08-12,adj_compound,most_negative,2,-0.2263,-0.2263,-0.2263,2022-08-10T07:00:00Z,UrbanBike.News,Limited Edition: the VanMoof S3 Aluminum,,False
2022-08-12,adj_compound,most_positive,1,0.8176,0.8176,0.8176,2022-08-11T07:00:00Z,autoevolution,VanMoof Introduces Limited-Edition S3 Aluminum e-Bike: Celebrate Beauty in Simplicity,,False
2022-08-12,adj_compound,most_positive,2,0.5562,0.5562,0.5562,2022-08-09T07:00:00Z,tradebrains.in,"Tata Steel Vs SAIL - Profitability, Future Prospects & More!",,False
2022-08-19,adj_compound,most_negative,1,-0.4404,-0.4404,-0.4404,2022-08-14T07:00:00Z,AL Circle,Mahindra to launch Scorpio Classic with all-aluminium engine block sheds 55 kg,,False
2022-08-19,adj_compound,most_negative,2,-0.4404,-0.4404,-0.4404,2022-08-17T07:00:00Z,Business Standard,Norsk Hydro shuts aluminum plant in Slovakia as Europe's power woes deepen,,False
2022-08-19,adj_compound,most_positive,1,0.6705,0.6705,0.6705,2022-08-16T07:00:00Z,Trinidad and Tobago Newsday,Gopee-Scoon: Clear need to improve scrap-iron law,,False
2022-08-19,adj_compound,most_positive,2,0.5574,0.2732,0.5574,2022-08-19T07:00:00Z,intellinews.com,Norsk Hydro to shutter Slovalco aluminium plant in Slovakia as energy prices soar,soar,False
2022-08-26,adj_compound,most_negative,1,-0.802,-0.802,-0.802,2022-08-23T07:00:00Z,Engineering News,Scrap metal export ban to buy time for SA to build systems to tackle illegal activity,,False
2022-08-26,adj_compound,most_negative,2,-0.5994,-0.5994,-0.5994,2022-08-25T07:00:00Z,EUROMETAL,Six months of war: How has it changed the global steel market?,,False
2022-08-26,adj_compound,most_positive,1,0.6808,0.6808,0.6808,2022-08-26T07:00:00Z,AL Circle,Nalco's Panchpatmali bauxite mine took home the prestigious 'Greentech Quality and Innovation Awards 2022',,False
2022-08-26,adj_compound,most_positive,2,0.6597,0.4404,0.6597,2022-08-23T07:00:00Z,Al Arabiya English,Emirates Global Aluminium’s first half profit surges nearly 250 pct to $1.6 bln,surges,False
2022-09-02,adj_compound,most_negative,1,-0.6369,-0.6369,-0.6369,2022-08-30T07:00:00Z,GMK Center,Italian long steel companies to stop production due to the energy crisis,,False
2022-09-02,adj_compound,most_negative,2,-0.4404,-0.4404,-0.4404,2022-09-01T07:00:00Z,New Atlas,Aluminum-gallium powder bubbles hydrogen out of dirty water,,False
2022-09-02,adj_compound,most_positive,1,0.6478,0.3612,0.6478,2022-09-02T07:00:00Z,朝日新聞,"Toyota, Nippon Steel agree to major rise in price for steel",rise,False
2022-09-02,adj_compound,most_positive,2,0.5574,0.2732,0.5574,2022-08-31T07:00:00Z,Bloomberg.com,ArcelorMittal Raises European Steel Prices as Energy Costs Surge,surge,False
